icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
4bc8c8,PGT911R ,Turkey,1750795651,1750795651,28.9792,40.7401,1554.48,False,105.96,42.44,-4.55,,1684.02,7606,False,0,2025-06-24T20:07:32
511171,MBU8HK  ,Estonia,1750795650,1750795650,10.9212,53.1101,5273.04,False,118.63,307.07,-6.5,,5425.44,3542,False,0,2025-06-24T20:07:32
511172,MBU8DT  ,Estonia,1750795651,1750795651,6.1606,45.9251,11582.4,False,240.88,63.49,0.0,,12161.52,1000,False,0,2025-06-24T20:07:32
511170,MBU2AT  ,Estonia,1750795652,1750795652,9.4566,48.5162,7376.16,False,216.5,53.89,-6.5,,7780.02,3370,False,0,2025-06-24T20:07:32
471efb,WMT4687 ,Hungary,1750795651,1750795651,-3.5675,40.4621,,True,3.09,8.44,,,,,False,0,2025-06-24T20:07:32
471eff,WZZ85   ,Hungary,1750795651,1750795651,18.0709,48.2316,6781.8,False,229.06,130.81,-8.78,,7109.46,4630,False,0,2025-06-24T20:07:32
51118a,MBU2YJ  ,Estonia,1750795651,1750795651,12.7746,51.334,1828.8,False,129.91,13.05,-7.15,,1912.62,1000,False,0,2025-06-24T20:07:32
44029f,AUA220  ,Austria,1750795651,1750795651,11.5123,49.8277,8900.16,False,258.82,91.14,10.73,,9311.64,1000,False,0,2025-06-24T20:07:32
407a3f,AWC671  ,United Kingdom,1750795651,1750795651,12.109,47.5024,10972.8,False,221.12,306.39,0.0,,11506.2,3544,False,0,2025-06-24T20:07:32
3455da,VOE3395 ,Spain,1750795650,1750795650,-0.7508,38.3091,838.2,False,94.65,100.33,-5.2,,960.12,3501,False,0,2025-06-24T20:07:32
3455d7,VOE2373 ,Spain,1750795650,1750795651,-3.4238,45.092,11277.6,False,250.64,29.51,0.0,,11811.0,1000,False,0,2025-06-24T20:07:32
44023f,EJU34TM ,Austria,1750795651,1750795651,-3.8008,35.2941,11582.4,False,256.57,40.36,0.33,,12230.1,6454,False,0,2025-06-24T20:07:32
3c5ee8,EWG13E  ,Germany,1750795651,1750795651,9.986,53.6251,,True,12.35,78.75,,,,5262,False,0,2025-06-24T20:07:32
3c5ee7,EWG6HW  ,Germany,1750795651,1750795651,10.0553,52.5449,8907.78,False,230.3,9.13,-17.23,,9227.82,7514,False,0,2025-06-24T20:07:32
3c5ee6,EWG6UC  ,Germany,1750795651,1750795651,9.4348,49.745,11590.02,False,225.49,5.89,0.0,,12047.22,1000,False,0,2025-06-24T20:07:32
3c5ee5,EWG51L  ,Germany,1750795651,1750795651,14.8414,44.1697,11582.4,False,229.71,346.4,0.33,,12169.14,0202,False,0,2025-06-24T20:07:32
4acb23,NOZ1277 ,Sweden,1750795651,1750795651,20.0732,51.0171,12192.0,False,213.44,341.74,0.0,,12534.9,5301,False,0,2025-06-24T20:07:32
4bc8ca,PGT8UH  ,Turkey,1750795364,1750795364,29.2885,40.8796,167.64,False,66.27,64.23,-3.58,,266.7,,False,0,2025-06-24T20:07:32
3c5ee4,EWG89U  ,Germany,1750795365,1750795365,6.7685,51.2824,,True,6.94,185.62,,,,1000,False,0,2025-06-24T20:07:32
3c5ee1,EWG8UV  ,Germany,1750795565,1750795565,6.7581,51.2777,,True,3.09,188.44,,,,1000,False,0,2025-06-24T20:07:32
46b82a,AEE2FL  ,Greece,1750795454,1750795454,-0.4566,51.476,,True,7.46,90.0,,,,4110,True,0,2025-06-24T20:07:32
46b82b,AEE7PT  ,Greece,1750795651,1750795651,8.2822,40.8223,10355.58,False,234.58,280.74,0.0,,10949.94,5533,False,0,2025-06-24T20:07:32
46b82c,AEE665  ,Greece,1750795651,1750795651,22.9697,37.933,5120.64,False,205.38,106.89,-17.56,,5463.54,0441,False,0,2025-06-24T20:07:32
3c5eea,EWG7GR  ,Germany,1750795651,1750795651,11.6911,45.5614,11582.4,False,225.04,332.5,0.0,,12108.18,1272,False,0,2025-06-24T20:07:32
46b830,AEE823  ,Greece,1750795651,1750795651,19.0675,47.656,10675.62,False,258.87,154.45,0.0,,11163.3,7624,False,0,2025-06-24T20:07:32
440209,EJU71KD ,Austria,1750795651,1750795651,8.5332,45.3312,2103.12,False,121.67,58.66,-2.28,,2286.0,2041,False,0,2025-06-24T20:07:32
46b822,AEE909  ,Greece,1750795651,1750795651,24.7537,37.455,5524.5,False,223.16,292.07,-15.61,,5882.64,4142,False,0,2025-06-24T20:07:32
505dff,EXS83MA ,Slovakia,1750795651,1750795651,12.9777,44.5657,10972.8,False,225.59,313.71,-0.33,,11551.92,3712,False,0,2025-06-24T20:07:32
440237,EJU34RZ ,Austria,1750795604,1750795609,2.3514,48.7266,,True,0.0,253.12,,,,1000,False,0,2025-06-24T20:07:32
44022b,AUA338  ,Austria,1750795651,1750795651,16.5745,48.6449,4610.1,False,200.44,160.82,-10.73,,4876.8,3514,False,0,2025-06-24T20:07:32
47880f,NSZ9YB  ,Norway,1750795651,1750795651,2.382,48.1001,11277.6,False,218.6,202.7,0.0,,11811.0,6706,False,0,2025-06-24T20:07:32
34318a,GES121L ,Spain,1750795651,1750795651,2.7368,48.8737,1516.38,False,131.14,75.69,-0.33,,1630.68,4326,False,0,2025-06-24T20:07:32
a2cd68,N28UD   ,United States,1750795650,1750795651,2.8833,49.8334,13716.0,False,256.82,314.68,0.33,,14188.44,2766,False,0,2025-06-24T20:07:32
343194,VLG1BA  ,Spain,1750795650,1750795651,2.2387,42.1403,6263.64,False,190.31,149.28,-4.88,,6713.22,7710,False,0,2025-06-24T20:07:32
393322,AFR39UJ ,France,1750795650,1750795650,1.8095,47.1241,8839.2,False,218.15,190.46,0.0,,9288.78,1000,False,0,2025-06-24T20:07:32
393323,AFR7313 ,France,1750795650,1750795651,3.3441,48.9076,2598.42,False,122.36,340.35,-4.88,,2720.34,1000,False,0,2025-06-24T20:07:32
4aca84,NSZ2889 ,Sweden,1750795651,1750795651,-3.6344,38.4233,9601.2,False,261.74,7.0,4.88,,10104.12,4613,False,0,2025-06-24T20:07:32
4aca83,NSZ2863 ,Sweden,1750793428,1750795646,22.6682,52.7688,11277.6,False,233.54,8.49,0.0,,11468.1,6036,False,0,2025-06-24T20:07:32
4aca85,NSZ44PA ,Sweden,1750795651,1750795652,19.4181,49.1365,11582.4,False,217.62,348.82,0.0,,12016.74,4226,False,0,2025-06-24T20:07:32
393324,AFR43UV ,France,1750795652,1750795652,2.4489,48.1131,6880.86,False,218.75,159.78,3.25,,7239.0,1000,False,0,2025-06-24T20:07:32
4aca87,NSZ24N  ,Sweden,1750795651,1750795651,12.5051,47.2122,11582.4,False,249.98,33.33,0.0,,12123.42,0442,False,0,2025-06-24T20:07:32
4aca90,NSZ3521 ,Sweden,1750795651,1750795651,3.5456,52.7315,11887.2,False,252.27,55.89,-0.33,,12275.82,4654,False,0,2025-06-24T20:07:32
4aca93,NSZ5023 ,Sweden,1750795651,1750795651,0.4034,45.7096,11277.6,False,213.77,207.68,0.0,,11841.48,0764,False,0,2025-06-24T20:07:32
4aca96,NSZ4KP  ,Sweden,1750795651,1750795651,7.7536,43.8174,4084.32,False,163.61,60.21,5.53,,4373.88,,False,0,2025-06-24T20:07:32
34448d,IBS1864 ,Spain,1750795651,1750795651,-1.7029,50.1879,8862.06,False,223.58,199.77,5.2,,9281.16,2017,False,0,2025-06-24T20:07:32
4aca8a,NSZ4351 ,Sweden,1750795554,1750795558,22.3918,42.1047,8145.78,False,214.68,272.2,-5.2,,8633.46,,False,0,2025-06-24T20:07:32
4aca8d,NSZ5HA  ,Sweden,1750795651,1750795651,4.3054,49.4275,11277.6,False,214.82,254.3,0.0,,11772.9,0734,False,0,2025-06-24T20:07:32
4aca8c,NSZ2941 ,Sweden,1750795651,1750795651,16.5329,49.7858,11277.6,False,251.56,39.19,0.0,,11704.32,0457,False,0,2025-06-24T20:07:32
4aca8f,NSZ1LY  ,Sweden,1750795651,1750795651,1.8724,46.872,11277.6,False,219.75,193.13,0.0,,11841.48,0756,False,0,2025-06-24T20:07:32
4aca8e,NSZ5341 ,Sweden,1750795652,1750795652,3.5733,53.102,10972.8,False,244.43,178.67,0.0,,11330.94,1166,False,0,2025-06-24T20:07:32
3c5eef,EWG465  ,Germany,1750795349,1750795349,7.1264,50.8781,,True,8.23,320.62,,,,5245,False,0,2025-06-24T20:07:32
471f8f,WZZ5XN  ,Hungary,1750795650,1750795650,22.3132,46.1549,11871.96,False,245.62,133.56,0.0,,12420.6,1000,False,0,2025-06-24T20:07:32
4400eb,EJU51QX ,Austria,1750795651,1750795651,1.2811,39.0666,11277.6,False,217.62,248.65,0.0,,11940.54,2021,False,0,2025-06-24T20:07:32
4520d0,JAF1NB  ,Bulgaria,1750795651,1750795651,-4.9567,38.7085,10972.8,False,269.4,18.71,0.0,,11506.2,6477,False,0,2025-06-24T20:07:32
343141,IBS17CM ,Spain,1750795651,1750795651,0.027,39.6964,9441.18,False,216.12,276.97,-0.33,,10020.3,3234,False,0,2025-06-24T20:07:32
471f82,WZZ884  ,Hungary,1750795651,1750795651,18.972,48.3506,11285.22,False,241.82,160.1,-0.33,,11757.66,1351,False,0,2025-06-24T20:07:32
471f83,WZZ4747 ,Hungary,1750795651,1750795651,14.3171,49.3497,11269.98,False,261.4,106.58,0.33,,11742.42,1351,False,0,2025-06-24T20:07:32
471f81,WZZ216  ,Hungary,1750795651,1750795651,17.3015,50.6116,11269.98,False,252.29,158.09,0.0,,11620.5,6007,False,0,2025-06-24T20:07:32
471f86,WMT2929 ,Hungary,1750795648,1750795650,21.1143,44.8177,10347.96,False,228.96,98.66,-8.13,,10904.22,0465,False,0,2025-06-24T20:07:32
471f87,WZZ119  ,Hungary,1750795651,1750795651,17.2204,45.189,11590.02,False,215.2,272.19,0.0,,12192.0,1346,False,0,2025-06-24T20:07:32
471f6f,WMT3232 ,Hungary,1750795651,1750795651,14.3041,50.0796,480.06,False,72.33,307.2,-3.9,,548.64,5150,False,0,2025-06-24T20:07:32
471f6a,WZZ4WF  ,Hungary,1750795638,1750795651,8.7189,45.6244,,True,0.0,168.75,,,,1000,False,0,2025-06-24T20:07:32
471f6d,WMT1YU  ,Hungary,1750795651,1750795651,1.9494,52.0884,10111.74,False,262.4,93.71,4.55,,10500.36,2250,False,0,2025-06-24T20:07:32
471f6b,WMT9693 ,Hungary,1750795650,1750795651,7.8236,40.5763,10965.18,False,232.33,76.43,0.0,,11574.78,1412,False,0,2025-06-24T20:07:32
471f6c,WMT8825 ,Hungary,1750795636,1750795639,2.0696,41.2915,-7.62,True,10.8,64.69,,,,1000,False,0,2025-06-24T20:07:32
34444b,IBE09FC ,Spain,1750795651,1750795651,0.0856,41.027,11292.84,False,207.5,253.14,-0.33,,11902.44,1000,False,0,2025-06-24T20:07:32
471f7a,WMT4W   ,Hungary,1750795587,1750795587,12.222,51.4178,,True,0.0,104.06,,,,,False,0,2025-06-24T20:07:32
344459,AEA6027 ,Spain,1750795651,1750795651,-0.627,39.4164,7924.8,False,223.25,111.78,0.0,,8420.1,5112,False,0,2025-06-24T20:07:32
344455,IBS1676 ,Spain,1750795651,1750795651,1.4987,39.59,5867.4,False,224.71,279.35,4.88,,6316.98,3236,False,0,2025-06-24T20:07:32
471f68,WMT7YM  ,Hungary,1750795651,1750795651,24.7898,37.624,11277.6,False,227.92,161.44,0.0,,11879.58,7456,False,0,2025-06-24T20:07:32
471f69,WMT9BQ  ,Hungary,1750795651,1750795651,15.1284,44.8791,10668.0,False,246.9,93.58,-0.33,,11231.88,0412,False,0,2025-06-24T20:07:32
34310d,BCS7EM  ,Spain,1750795569,1750795570,-3.5644,40.4735,,True,35.5,323.44,,,,3344,False,0,2025-06-24T20:07:32
471f64,WMT525  ,Hungary,1750795650,1750795650,13.746,45.5737,11277.6,False,247.14,96.81,0.0,,11849.1,0413,False,0,2025-06-24T20:07:32
7809a5,CCA838  ,China,1750795649,1750795649,8.7177,45.6285,,True,0.77,174.38,,,,,False,0,2025-06-24T20:07:32
344449,IBE06RR ,Spain,1750795650,1750795650,12.2041,41.7927,518.16,False,86.14,262.45,6.83,,617.22,,False,0,2025-06-24T20:07:32
344445,EVE762  ,Spain,1750795651,1750795651,-0.623,42.4499,8839.2,False,173.17,224.28,0.0,,9364.98,1000,False,0,2025-06-24T20:07:32
471f4a,WZZ876  ,Hungary,1750795651,1750795651,13.3501,48.8561,10058.4,False,256.82,126.36,0.65,,10515.6,0106,False,0,2025-06-24T20:07:32
471f77,WZZ10VF ,Hungary,1750795652,1750795652,28.7805,38.8809,11285.22,False,240.51,149.54,0.0,,11879.58,4223,False,0,2025-06-24T20:07:32
471f71,WMT428  ,Hungary,1750795651,1750795651,14.37,45.1925,11277.6,False,246.86,77.24,0.0,,11849.1,0423,False,0,2025-06-24T20:07:32
471f72,WMT767  ,Hungary,1750795651,1750795651,14.1142,42.4011,11582.4,False,224.98,300.96,0.0,,12199.62,6635,False,0,2025-06-24T20:07:32
471f70,WMT8BK  ,Hungary,1750795651,1750795651,18.431,47.5608,10949.94,False,213.34,338.94,-5.53,,11452.86,4451,False,0,2025-06-24T20:07:32
4400b7,EJU56QF ,Austria,1750795650,1750795651,-0.1508,51.1536,152.4,False,68.41,257.85,-3.25,,205.74,1063,False,0,2025-06-24T20:07:32
4400b3,EJU41FE ,Austria,1750795651,1750795651,19.3021,39.909,11574.78,False,231.15,304.11,0.0,,12176.76,2065,False,0,2025-06-24T20:07:32
4400b2,EJU15XQ ,Austria,1750795651,1750795652,4.2063,52.5271,2438.4,False,159.4,85.74,-9.1,,2522.22,5553,False,0,2025-06-24T20:07:32
4520c4,BCS56H  ,Bulgaria,1750795651,1750795651,8.7876,45.3951,1203.96,False,99.99,349.33,-0.33,,1325.88,6440,False,0,2025-06-24T20:07:32
471f41,WZZ677  ,Hungary,1750795651,1750795651,5.852,45.6549,6050.28,False,196.27,54.6,9.1,,6446.52,1000,False,0,2025-06-24T20:07:32
4400dc,EJU723G ,Austria,1750795651,1750795651,10.0599,44.5706,9250.68,False,228.41,161.48,5.85,,9776.46,1000,False,0,2025-06-24T20:07:32
471f55,WZZ9TL  ,Hungary,1750795651,1750795651,2.0715,41.3008,,True,0.06,53.44,,,,1423,False,0,2025-06-24T20:07:32
4400be,TAY7TL  ,Austria,1750795651,1750795651,14.8886,57.8697,10972.8,False,217.84,221.94,0.98,,10972.8,0733,False,0,2025-06-24T20:07:32
471f54,WZZ27JV ,Hungary,1750795651,1750795651,19.4822,49.9665,3086.1,False,159.27,352.58,-12.68,,3238.5,6577,False,0,2025-06-24T20:07:32
34440a,VLG3RB  ,Spain,1750795651,1750795651,-1.5762,42.1116,10050.78,False,215.18,253.47,0.0,,10622.28,1000,False,0,2025-06-24T20:07:32
471f3d,WMT5232 ,Hungary,1750795651,1750795651,2.6594,39.6665,10668.0,False,219.5,266.78,0.33,,11308.08,1737,False,0,2025-06-24T20:07:32
344416,IBS1706 ,Spain,1750795650,1750795650,1.5171,38.9805,2720.34,False,145.29,285.61,6.5,,2971.8,0270,False,0,2025-06-24T20:07:32
471f35,WZZ9KA  ,Hungary,1750795650,1750795650,8.7199,45.6235,,True,1.54,258.75,,,,1000,False,0,2025-06-24T20:07:32
471f36,WZZ51VS ,Hungary,1750795651,1750795651,17.7488,48.4843,8831.58,False,248.85,133.99,-13.33,,9235.44,7676,False,0,2025-06-24T20:07:32
471f38,WZZ901  ,Hungary,1750795651,1750795652,5.9477,45.8937,10972.8,False,237.06,50.19,0.0,,11559.54,1000,False,0,2025-06-24T20:07:32
471f31,WZZ5AV  ,Hungary,1750795651,1750795651,14.0634,49.4564,11269.98,False,249.33,48.68,0.0,,11734.8,1000,False,0,2025-06-24T20:07:32
471f32,WZZ20BA ,Hungary,1750795651,1750795651,21.599,49.9577,10988.04,False,221.33,1.86,0.0,,11346.18,7676,False,0,2025-06-24T20:07:32
471f02,WZZ1956 ,Hungary,1750795651,1750795651,23.7167,42.2399,10683.24,False,243.21,137.4,0.33,,11247.12,1351,False,0,2025-06-24T20:07:32
398e24,DAH3014 ,France,1750795651,1750795651,19.0316,39.3259,10058.4,False,227.54,74.39,0.0,,10607.04,,False,0,2025-06-24T20:07:32
407b54,WUK7KN  ,United Kingdom,1750795650,1750795651,15.1001,45.3656,11285.22,False,247.08,133.57,-0.33,,11871.96,3441,False,0,2025-06-24T20:07:32
505ceb,TFL1576 ,Slovakia,1750795651,1750795651,3.7332,52.4617,3505.2,False,174.19,69.42,-5.85,,3627.12,2360,False,0,2025-06-24T20:07:32
505cea,SEU7552 ,Slovakia,1750795652,1750795652,21.2418,48.669,10363.2,False,204.67,347.22,-0.33,,10751.82,4461,False,0,2025-06-24T20:07:32
407b8b,WUK75   ,United Kingdom,1750795651,1750795651,11.5241,51.2338,11277.6,False,268.53,103.29,0.33,,11673.84,7506,False,0,2025-06-24T20:07:32
407b8e,BAW822  ,United Kingdom,1750795650,1750795651,1.588,52.1644,10614.66,False,254.55,59.65,10.08,,11026.14,2767,False,0,2025-06-24T20:07:32
3c4b32,DLH510  ,Germany,1750795651,1750795651,8.5325,49.8804,1028.7,False,118.84,179.75,5.53,,1127.76,4122,False,0,2025-06-24T20:07:32
407b8f,BAW33A  ,United Kingdom,1750795651,1750795652,1.9384,50.1044,11590.02,False,222.14,322.81,0.0,,12085.32,2767,False,0,2025-06-24T20:07:32
3430cd,VOE3AM  ,Spain,1750795651,1750795651,12.6038,40.9918,11574.78,False,233.38,169.46,-5.2,,12222.48,7431,False,0,2025-06-24T20:07:32
3c4b45,EWG8A   ,Germany,1750795651,1750795651,7.6693,51.9944,5699.76,False,166.97,225.37,-9.43,,5943.6,0750,False,0,2025-06-24T20:07:32
3c4b49,EWG607  ,Germany,1750795651,1750795651,1.8949,48.5599,9753.6,False,252.95,65.1,0.0,,10241.28,2366,False,0,2025-06-24T20:07:32
407b70,WUK9AE  ,United Kingdom,1750795650,1750795651,22.6183,45.7159,10980.42,False,209.2,310.11,0.33,,11513.82,5331,False,0,2025-06-24T20:07:32
ae0de4,SPADE08 ,United States,1750795651,1750795651,8.3245,50.0455,,True,1.03,154.69,,,,0033,False,0,2025-06-24T20:07:32
3c4b4e,EWG92FP ,Germany,1750795651,1750795651,6.0472,49.9374,9745.98,False,236.54,18.12,-0.65,,10203.18,1000,False,0,2025-06-24T20:07:32
3c4b4b,EWG27V  ,Germany,1750795505,1750795505,7.1199,50.8827,,True,7.72,306.56,,,,4143,False,0,2025-06-24T20:07:32
3443d1,VLG1174 ,Spain,1750795651,1750795651,-5.7232,36.3139,10675.62,False,206.2,237.22,0.0,,11239.5,0460,False,0,2025-06-24T20:07:32
3443d2,VLG59VB ,Spain,1750795650,1750795650,-3.1798,44.5801,8458.2,False,186.88,177.79,-3.9,,8930.64,5403,False,0,2025-06-24T20:07:32
3443d3,VLG77EC ,Spain,1750795651,1750795651,1.0359,43.1914,10972.8,False,233.23,335.64,-0.33,,11582.4,1044,False,0,2025-06-24T20:07:32
3c5db0,KLM1805 ,Germany,1750795651,1750795652,6.5051,51.7273,3329.94,False,196.82,131.4,-10.4,,3459.48,1000,False,0,2025-06-24T20:07:32
4aca04,NOZ1923 ,Sweden,1750795651,1750795651,12.5815,56.6144,11582.4,False,223.34,345.87,0.0,,11696.7,6045,False,0,2025-06-24T20:07:32
505cb8,TFL5273 ,Slovakia,1750795498,1750795498,-6.2487,53.4276,,True,0.0,30.94,,,,5347,False,0,2025-06-24T20:07:32
4aca05,NOZ8LY  ,Sweden,1750795651,1750795651,16.6752,45.816,10972.8,False,224.32,333.73,0.0,,11521.44,2035,False,0,2025-06-24T20:07:32
4aca08,NSZ3RF  ,Sweden,1750795651,1750795651,6.0772,46.3782,11277.6,False,233.48,185.18,0.0,,11833.86,0732,False,0,2025-06-24T20:07:32
4aca07,NOZ1553 ,Sweden,1750795651,1750795651,16.9719,51.8794,11582.4,False,204.38,340.29,0.0,,11864.34,6130,False,0,2025-06-24T20:07:32
4aca09,NSZ1YP  ,Sweden,1750795650,1750795651,4.2191,42.7441,10911.84,False,228.24,211.07,-3.9,,11521.44,0733,False,0,2025-06-24T20:07:32
505cb1,TFL5259 ,Slovakia,1750795650,1750795650,16.2427,43.587,10972.8,False,224.25,312.77,0.0,,11559.54,,False,0,2025-06-24T20:07:32
4aca12,NSZ5FQ  ,Sweden,1750795651,1750795651,9.4001,59.9909,10972.8,False,241.48,195.19,0.0,,10972.8,0740,False,0,2025-06-24T20:07:32
4aca0b,NSZ4561 ,Sweden,1750793855,1750795650,17.3202,56.0433,10668.0,False,241.89,192.53,0.33,,10698.48,6021,False,0,2025-06-24T20:07:32
4aca0c,NSZ3403 ,Sweden,1750795651,1750795651,7.3171,53.4177,11887.2,False,247.37,45.34,0.0,,12207.24,2317,False,0,2025-06-24T20:07:32
4bb4f4,MGH221  ,Turkey,1750795650,1750795651,16.4661,48.1639,10363.2,False,208.04,306.76,-0.33,,10835.64,3205,False,0,2025-06-24T20:07:32
4aca72,SAS57R  ,Sweden,1750795572,1750795573,12.6738,55.6294,137.16,False,65.29,220.85,-2.93,,83.82,6446,False,0,2025-06-24T20:07:32
4bb4ee,MGH251  ,Turkey,1750795651,1750795651,16.0504,49.852,10972.8,False,195.59,306.66,0.0,,11399.52,6621,False,0,2025-06-24T20:07:32
8016b6,VTJSJ   ,India,1750795524,1750795535,-0.3465,51.8784,182.88,False,53.92,254.51,-2.6,,243.84,1427,False,0,2025-06-24T20:07:32
4aca6e,SAS554  ,Sweden,1750795651,1750795651,7.4511,53.7928,11277.6,False,243.97,50.13,0.0,,11567.16,3130,False,0,2025-06-24T20:07:32
4aca42,NOZ3PT  ,Sweden,1750795651,1750795651,-0.2216,51.0438,12504.42,False,241.72,33.01,0.0,,12954.0,2320,False,0,2025-06-24T20:07:32
440352,EJU34ED ,Austria,1750795651,1750795651,7.1172,43.5888,518.16,False,83.67,45.0,-4.55,,617.22,5564,False,0,2025-06-24T20:07:32
471fa1,WZZ43E  ,Hungary,1750795652,1750795652,21.5722,49.2495,10972.8,False,226.97,1.69,0.33,,11376.66,1351,False,0,2025-06-24T20:07:32
471fa2,WZZ76KZ ,Hungary,1750795651,1750795651,7.588,43.7396,3147.06,False,151.55,60.74,7.15,,3398.52,,False,0,2025-06-24T20:07:32
471fa7,WZZ2302 ,Hungary,1750795650,1750795651,22.1248,43.6476,10355.58,False,215.94,340.23,-0.33,,10904.22,1000,False,0,2025-06-24T20:07:32
505cf6,AXE6809 ,Slovakia,1750795651,1750795651,9.0614,55.7623,1181.1,False,73.26,261.93,8.78,,1135.38,,False,0,2025-06-24T20:07:32
471fac,WZZ445  ,Hungary,1750795651,1750795651,12.5247,41.993,5547.36,False,189.3,20.36,9.75,,5935.98,,False,0,2025-06-24T20:07:32
471faa,WZZ90GH ,Hungary,1750795651,1750795651,20.1005,51.1038,6637.02,False,231.71,36.51,-13.0,,6835.14,1000,False,0,2025-06-24T20:07:32
471fae,WZZ27MF ,Hungary,1750795651,1750795651,9.6487,47.3145,10972.8,False,253.8,64.42,0.0,,11490.96,1000,False,0,2025-06-24T20:07:32
4aca50,NSZ9LW  ,Sweden,1750795651,1750795651,5.5574,53.9179,10972.8,False,229.18,196.56,0.0,,11262.36,0747,False,0,2025-06-24T20:07:32
4aca53,NSZ4402 ,Sweden,1750795651,1750795651,28.8693,42.4231,10706.1,False,223.92,321.16,4.88,,11209.02,1163,False,0,2025-06-24T20:07:32
4aca4a,NSZ5037 ,Sweden,1750795651,1750795652,2.9158,54.1909,10972.8,False,214.03,213.23,0.0,,11277.6,2320,False,0,2025-06-24T20:07:32
44033e,EJU73PT ,Austria,1750795651,1750795651,3.8461,41.4792,10652.76,False,216.85,198.39,0.0,,11254.74,1000,False,0,2025-06-24T20:07:32
4aca4f,NSZ3353 ,Sweden,1750795560,1750795560,19.667,41.3171,11582.4,False,227.93,330.08,0.0,,12184.38,5536,False,0,2025-06-24T20:07:32
8015cd,AIC2030 ,India,1750795563,1750795563,8.5792,50.0477,,True,2.57,157.5,,,,3316,False,0,2025-06-24T20:07:32
49f0e2,TXLU03  ,Czech Republic,1750795650,1750795650,14.2658,50.1071,,True,,0.0,,,,,False,0,2025-06-24T20:07:32
34324f,IBE07BW ,Spain,1750795650,1750795651,-1.3764,40.7081,9806.94,False,217.3,249.63,-5.2,,10355.58,1000,False,0,2025-06-24T20:07:32
34324e,IBE0450 ,Spain,1750795651,1750795651,-2.7541,40.4521,3322.32,False,128.41,236.44,-3.9,,3573.78,3415,False,0,2025-06-24T20:07:32
0180a0,BNL304  ,Libyan Arab Jamahiriya,1750795651,1750795651,29.3388,39.7272,10241.28,False,230.75,160.19,4.55,,10774.68,2372,False,0,2025-06-24T20:07:32
39348e,TVF40AQ ,France,1750795650,1750795651,4.3743,51.4712,7010.4,False,182.43,193.37,0.0,,7315.2,1000,False,0,2025-06-24T20:07:32
4401e9,EJU3900 ,Austria,1750795651,1750795651,19.6928,39.6465,10988.04,False,238.73,307.73,0.0,,11582.4,5517,False,0,2025-06-24T20:07:32
