order_id,supplier_id,supplier,service_type,flight_id,aircraft_id,order_date,expected_delivery,status,cost_usd,flight_day,recorded_at
ORD-13d62eb9,S003,SkyCater Global,Catering,FL9519,AC3488,2025-06-08,2025-07-07,on-time,4139.65,2025-05-20,2025-06-27T18:52:59.361959
ORD-2b6b3cc2,S004,JetFuel Partners,Fuel,FL9519,AC3488,2025-06-24,2025-07-07,on-time,,2025-05-20,2025-06-27T18:52:59.361989
ORD-d3c9a81d,S005,AviaClean Services,Maintenance,FL9519,AC3488,2025-06-09,2025-07-09,on-time,1813.6,2025-05-20,2025-06-27T18:52:59.362020
ORD-99af833b,S006,CloudGrub Ltd.,Catering,FL9519,AC3488,2025-06-14,2025-07-10,on-time,3212.42,2025-05-20,2025-06-27T18:52:59.362051
ORD-dae3f666,S001,GulfEnergy Inc.,Fuel,FL3561,AC4136,2025-06-09,2025-07-02,on-time,,2025-04-10,2025-06-27T18:52:59.362114
ORD-5ed15742,S003,SkyCater Global,Catering,FL3561,AC4136,2025-06-11,2025-07-04,on-time,4172.54,2025-04-10,2025-06-27T18:52:59.362151
ORD-3c60962d,S004,JetFuel Partners,Fuel,FL3561,AC4136,2025-06-02,2025-06-30,on-time,,2025-04-10,2025-06-27T18:52:59.362181
ORD-2ee0b272,S006,CloudGrub Ltd.,Catering,FL3561,AC4136,2025-06-09,2025-07-01,on-time,2877.22,2025-04-10,2025-06-27T18:52:59.362212
ORD-158ed708,S001,GulfEnergy Inc.,Fuel,FL6596,AC0944,2025-06-22,2025-07-06,delayed,,2025-04-05,2025-06-27T18:52:59.362275
ORD-b74c85ae,S004,JetFuel Partners,Fuel,FL6596,AC0944,2025-06-14,2025-07-01,on-time,,2025-04-05,2025-06-27T18:52:59.362306
ORD-acbf0310,S006,CloudGrub Ltd.,Catering,FL6596,AC0944,2025-06-26,2025-07-02,on-time,7296.47,2025-04-05,2025-06-27T18:52:59.362339
ORD-8fe8fead,S001,GulfEnergy Inc.,Fuel,FL4177,AC3488,2025-06-23,2025-07-01,on-time,,2025-05-16,2025-06-27T18:52:59.362404
ORD-e23689eb,S002,AeroTech Repairs,Maintenance,FL4177,AC3488,2025-06-01,2025-06-28,on-time,2376.75,2025-05-16,2025-06-27T18:52:59.362440
ORD-a375090f,S004,JetFuel Partners,Fuel,FL4177,AC3488,2025-06-23,2025-07-07,delayed,,2025-05-16,2025-06-27T18:52:59.362471
ORD-60d5ad5a,S006,CloudGrub Ltd.,Catering,FL4177,AC3488,2025-06-15,2025-07-01,on-time,4998.69,2025-05-16,2025-06-27T18:52:59.362503
ORD-f60b2b0b,S001,GulfEnergy Inc.,Fuel,FL9323,AC1979,2025-06-10,2025-07-11,on-time,,2025-05-15,2025-06-27T18:52:59.362562
ORD-cde89fb0,S002,AeroTech Repairs,Maintenance,FL9323,AC1979,2025-05-31,2025-07-08,delayed,2956.84,2025-05-15,2025-06-27T18:52:59.362594
ORD-d3199cda,S003,SkyCater Global,Catering,FL9323,AC1979,2025-06-10,2025-07-03,on-time,7507.9,2025-05-15,2025-06-27T18:52:59.362625
ORD-bcf92dfb,S004,JetFuel Partners,Fuel,FL9323,AC1979,2025-06-05,2025-07-04,on-time,,2025-05-15,2025-06-27T18:52:59.362656
ORD-8a95d91a,S005,AviaClean Services,Maintenance,FL9323,AC1979,2025-06-17,2025-07-05,delayed,3290.54,2025-05-15,2025-06-27T18:52:59.362687
ORD-a461d07c,S006,CloudGrub Ltd.,Catering,FL9323,AC1979,2025-05-31,2025-06-27,on-time,7602.3,2025-05-15,2025-06-27T18:52:59.362717
